country,count,Net Worth
United States,754,4575100000000
China,523,1805500000000
India,157,628700000000
Germany,102,462100000000
United Kingdom,82,370700000000
Russia,79,351000000000
Switzerland,78,409900000000
Hong Kong,68,321500000000
Italy,55,156900000000
Singapore,46,138000000000
Brazil,44,104800000000
Taiwan,43,117900000000
Australia,43,173500000000
Canada,42,173900000000
Japan,38,146800000000
France,35,499500000000
South Korea,29,81400000000
Thailand,28,100700000000
Sweden,26,90900000000
Israel,26,72500000000
Turkey,25,55700000000
Spain,25,133700000000
Indonesia,25,123900000000
United Arab Emirates,17,99400000000
Monaco,17,68000000000
Philippines,14,41400000000
Mexico,13,165700000000
Austria,11,75400000000
Malaysia,11,33100000000
Netherlands,10,24700000000
Norway,9,27100000000
Denmark,7,40900000000
Czech Republic,7,42800000000
Kazakhstan,7,26300000000
Finland,7,14000000000
Vietnam,6,12600000000
Chile,6,36400000000
Ukraine,6,12600000000
South Africa,5,25600000000
Cyprus,5,9600000000
Poland,5,18300000000
Ireland,4,9600000000
Egypt,4,13500000000
Argentina,4,11000000000
Hungary,3,3900000000
Greece,3,9100000000
Cayman Islands,3,10900000000
Romania,3,4800000000
Belgium,3,41200000000
Nigeria,3,28500000000
Slovakia,2,3100000000
Qatar,2,3000000000
Lebanon,2,5600000000
Peru,2,2500000000
New Zealand,2,10100000000
Morocco,2,2800000000
Bahamas,2,8200000000
Bermuda,2,4600000000
Tanzania,1,1500000000
Uzbekistan,1,14400000000
Uruguay,1,1800000000
Armenia,1,1200000000
Bahrain,1,1500000000
Turks and Caicos Islands,1,2000000000
British Virgin Islands,1,3400000000
Cambodia,1,2800000000
Eswatini (Swaziland),1,6500000000
Colombia,1,6400000000
Oman,1,2700000000
Georgia,1,4900000000
Guernsey,1,2300000000
Latvia,1,4200000000
Andorra,1,1500000000
Liechtenstein,1,2300000000
Luxembourg,1,3500000000
Nepal,1,1800000000
Portugal,1,4700000000
Algeria,1,4600000000
